,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB,Win%
0,2011_Ohio_St_,B10,37,34,126.01,91.811,0.97421,56.32,48.3126,15.87,1.0,16.0,23.231,35.76,28.435,37.1193,20.61,52.912,46.913,42.31,34.0147,32.7171,34.6231,63.8246,11.71,0.918918918918919
1,2011_Kansas,B12,38,35,120.94,91.06,0.96332,57.01,44.511,19.1111,1.0,8.0,20.1159,36.729,27.92,39.3123,31.957,56.81,44.542,38.224,29.89,32.4179,34.6231,68.048,10.22,0.9210526315789473
2,2011_Duke,ACC,37,32,120.65,91.58,0.96003,53.717,44.511,17.229,1.0,16.0,21.01,35.179,33.2214,37.4183,29.632,52.516,43.116,37.445,32.458,35.3113,24.55,68.538,9.33,0.8648648648648649
3,2011_Texas,B12,36,28,115.521,90.02,0.94604,50.2108,42.53,17.331,4.0,64.0,18.8248,38.29,30.693,43.147,30.743,48.1158,41.95,37.636,29.56,25.5324,26.112,65.5157,5.413,0.7777777777777778
4,2011_Kentucky,SEC,38,29,119.37,93.422,0.94375,52.341,44.29,16.11,4.0,4.0,18.2274,34.397,30.798,36.1219,30.138,48.8123,42.46,39.79,32.458,32.4179,29.772,64.8191,5.215,0.7631578947368421
5,2011_Pittsburgh,BE,34,28,119.86,94.126,0.94136,52.928,45.118,18.475,1.0,32.0,17.5303,42.92,28.642,43.147,32.361,50.561,43.219,39.511,32.668,27.4292,33.0184,62.2305,7.56,0.8235294117647058
6,2011_Wisconsin,B10,34,25,123.13,97.865,0.93337,51.854,48.2122,13.11,4.0,16.0,16.8321,33.8113,27.111,29.5328,32.972,48.9117,45.264,37.445,37.0299,41.222,29.461,56.5345,5.612,0.7352941176470589
7,2011_Notre_Dame,BE,34,27,123.12,98.17,0.93178,53.519,46.762,16.414,2.0,32.0,15.8337,33.4131,29.564,45.128,25.63,50.752,43.624,38.621,35.3218,38.648,33.2193,63.0276,7.75,0.7941176470588235
8,2011_Purdue,B10,34,26,115.222,92.013,0.92969,50.789,46.035,15.76,3.0,32.0,21.289,32.4163,29.77,34.4259,30.441,48.8123,44.956,36.472,32.668,33.0161,27.931,65.6152,7.09,0.7647058823529411
9,2011_San_Diego_St_,MWC,35,32,113.729,90.95,0.92901,50.5101,44.18,16.92,2.0,16.0,19.4205,37.517,29.875,31.1311,28.019,50.272,42.711,34.2176,31.631,30.0245,29.669,62.2306,8.74,0.9142857142857143
10,2011_North_Carolina,ACC,37,29,112.739,90.74,0.924211,49.1168,46.243,18.37,2.0,8.0,19.6193,37.125,30.178,37.9164,24.82,49.111,44.438,32.8245,33.197,25.0327,34.5228,70.417,7.37,0.7837837837837838
11,2011_Illinois,B10,34,20,114.925,92.516,0.923212,52.928,45.729,19.2116,9.0,32.0,18.3268,31.7191,31.513,28.2336,32.769,50.561,45.781,38.72,30.513,31.4212,34.8235,65.217,1.436,0.5882352941176471
12,2011_Connecticut,BE,41,32,115.818,93.623,0.920113,48.2211,44.511,17.126,3.0,1.0,17.431,38.77,34.1256,33.8268,26.81,47.7176,42.46,32.9234,32.772,29.3257,32.2155,64.2229,6.81,0.7804878048780488
13,2011_Louisville,BE,35,25,111.848,90.63,0.918214,52.635,44.511,19.0106,4.0,64.0,23.424,34.885,35.2286,29.9323,39.8222,51.531,43.421,36.276,31.122,40.728,33.0184,66.6102,4.617,0.7142857142857143
14,2011_Syracuse,BE,34,26,115.024,93.221,0.917815,53.222,45.221,18.891,3.0,32.0,20.712,36.634,33.5235,35.9227,29.735,52.912,44.438,35.89,31.122,31.5208,38.5318,64.9185,6.011,0.7647058823529411
15,2011_BYU,MWC,36,31,117.213,95.24,0.915716,51.659,46.762,15.23,3.0,16.0,20.2153,30.8225,28.538,38.1153,33.684,50.272,45.264,35.984,33.3103,37.858,30.595,70.02,7.28,0.8611111111111112
16,2011_Florida,SEC,37,29,116.417,95.442,0.908117,52.145,47.28,18.788,2.0,8.0,19.1226,37.222,30.077,35.7236,27.817,51.724,47.5159,35.2119,31.122,31.7202,33.2193,62.4295,5.214,0.7837837837837838
17,2011_Washington,P10,35,24,118.49,97.157,0.906618,53.717,46.451,16.817,7.0,32.0,20.4139,37.713,31.9156,31.5306,44.0282,52.516,45.368,37.152,32.878,36.383,27.727,70.416,1.732,0.6857142857142857
18,2011_West_Virginia,BE,33,21,115.52,95.238,0.902419,48.5194,45.932,18.891,5.0,32.0,18.6258,40.26,35.5293,40.992,36.013,47.5184,47.0136,33.7199,29.12,33.5149,32.416,62.1307,2.922,0.6363636363636364
19,2011_Arizona,P10,38,30,118.78,98.067,0.90042,54.112,48.6136,18.891,5.0,8.0,18.5263,34.0109,29.258,43.643,36.6147,51.04,50.4275,39.79,29.33,36.188,28.34,64.919,4.616,0.7894736842105263
20,2011_Kansas_St_,B12,33,22,112.641,93.12,0.898721,49.6141,47.383,21.3246,5.0,32.0,22.251,40.94,30.9105,43.147,45.3297,46.4231,45.162,37.541,35.1211,32.8169,28.444,66.89,2.028,0.6666666666666666
21,2011_Utah_St_,WAC,33,29,110.659,91.912,0.894222,52.243,43.45,18.475,12.0,64.0,18.8248,34.0109,26.03,43.445,34.698,51.629,42.61,35.791,30.01,31.3214,33.3197,61.9311,3.819,0.8787878787878788
22,2011_Clemson,ACC,34,22,110.561,91.81,0.893523,50.3105,45.625,20.1172,12.0,64.0,23.231,34.298,32.5189,38.5141,34.8104,49.594,43.624,34.4167,33.197,34.513,32.416,63.4257,0.544,0.6470588235294118
23,2011_Cincinnati,BE,35,26,111.453,92.617,0.893224,49.4155,45.831,17.95,6.0,32.0,22.06,38.29,31.011,38.3149,35.4116,48.8123,44.75,33.8195,32.353,33.6147,29.669,62.7288,3.22,0.7428571428571429
24,2011_UNLV,MWC,33,24,110.757,92.918,0.882225,50.979,46.035,18.681,8.0,64.0,24.015,33.1143,31.7144,39.1126,39.722,51.531,44.337,33.0229,32.985,30.424,33.1188,66.5105,2.823,0.7272727272727273
25,2011_Michigan,B10,34,20,112.837,94.833,0.880726,52.341,48.9154,16.211,8.0,32.0,18.8248,25.2329,29.36,26.7343,30.441,51.724,49.424,35.3113,32.039,43.013,37.5299,61.2321,1.633,0.5882352941176471
26,2011_Gonzaga,WCC,34,24,111.749,94.428,0.873828,52.537,47.28,19.8152,11.0,32.0,20.8113,35.76,28.228,41.776,35.1109,51.922,42.711,36.181,36.9297,28.0283,35.8265,66.698,0.3647,0.7058823529411765
27,2011_St__John_s,BE,33,21,112.246,94.935,0.872129,49.5147,50.8249,18.578,6.0,64.0,24.113,32.516,33.1213,44.237,40.223,49.3103,47.6168,33.5208,37.2312,24.1334,40.0329,65.5155,3.121,0.6363636363636364
28,2011_Florida_St_,ACC,34,23,103.7157,88.01,0.868831,49.0175,42.41,22.9312,10.0,16.0,21.963,35.666,30.798,38.1153,36.3136,48.5143,40.01,33.4212,30.614,33.3154,39.7325,67.761,1.141,0.6764705882352942
29,2011_Vanderbilt,SEC,34,23,117.014,99.393,0.868332,52.928,46.035,19.0106,5.0,64.0,17.5303,32.9147,32.1165,45.227,28.019,51.139,45.676,37.152,31.327,38.252,31.5127,66.3116,1.831,0.6764705882352942
30,2011_Marquette,BE,37,22,115.223,97.864,0.867733,51.076,49.9213,18.054,11.0,16.0,20.5134,36.147,33.2214,44.335,28.925,50.561,48.0179,34.9146,35.8247,26.1314,33.9212,66.1124,0.643,0.5945945945945946
31,2011_Belmont,ASun,35,30,111.651,94.934,0.866534,54.21,46.14,19.7143,13.0,64.0,27.32,37.418,32.1165,38.1153,46.2308,52.219,44.13,37.831,33.6118,42.218,30.91,67.951,1.14,0.8571428571428571
32,2011_Villanova,BE,33,21,114.826,97.863,0.863935,49.5147,46.345,18.054,9.0,64.0,18.2274,35.855,30.283,42.366,36.5141,48.2155,45.368,34.8155,32.039,33.2155,36.0272,64.9186,1.435,0.6363636363636364
33,2011_Butler,Horz,37,27,112.245,96.046,0.857836,49.8129,48.1118,16.92,8.0,2.0,18.9243,33.2139,28.123,37.9164,39.0197,47.9168,48.0179,35.2119,32.249,38.746,35.5253,63.3263,-0.3864,0.7297297297297297
34,2011_Georgetown,BE,32,21,113.234,97.054,0.855137,54.112,46.867,20.8221,6.0,64.0,17.5303,33.7119,32.3175,33.428,37.9173,54.74,45.264,35.3113,33.7124,37.166,29.669,63.625,4.218,0.65625
35,2011_Temple,A10,34,26,110.263,94.63,0.853438,50.012,46.345,16.312,7.0,32.0,19.9172,32.1179,28.747,33.8268,26.49,48.7133,43.523,35.3113,35.8247,30.0245,27.423,64.1234,2.227,0.7647058823529411
36,2011_George_Mason,CAA,34,27,112.542,97.156,0.845039,53.222,46.658,17.023,8.0,32.0,20.5134,32.9147,31.312,38.6139,32.059,50.561,45.573,39.511,32.668,30.9224,33.4199,64.4219,1.239,0.7941176470588235
37,2011_Missouri,B12,33,22,113.73,98.377,0.842441,51.564,49.3181,17.023,11.0,64.0,24.67,33.4131,36.9325,34.3261,40.724,50.272,48.4195,36.276,34.3163,31.1218,29.256,70.414,1.337,0.6666666666666666
38,2011_Georgia,SEC,33,21,110.065,95.137,0.841943,49.5147,44.817,20.4196,10.0,64.0,18.2274,36.827,31.7144,36.62,34.7101,48.8123,43.421,34.2176,31.938,25.0327,31.9144,63.2268,0.1449,0.6363636363636364
39,2011_UCLA,P10,34,23,109.273,94.629,0.839844,50.2108,46.345,21.927,7.0,32.0,17.9285,36.147,31.513,44.335,33.074,50.752,44.233,32.7251,34.7188,29.0261,25.81,65.1172,1.338,0.6764705882352942
40,2011_Penn_St_,B10,34,19,113.135,98.066,0.839545,50.1115,50.7245,17.641,10.0,64.0,18.0281,32.2174,30.283,31.1311,29.126,49.69,48.3192,33.9191,36.5279,36.578,36.929,59.4337,1.534,0.5588235294117647
41,2011_USC,P10,34,19,107.987,93.624,0.836047,49.9121,46.243,17.846,11.0,64.0,18.4266,29.9259,28.538,35.4244,36.1131,48.5143,44.438,35.4105,33.5115,31.5208,31.5127,61.8315,-1.776,0.5588235294117647
42,2011_Xavier,A10,32,24,112.047,97.358,0.834548,51.271,46.555,18.263,6.0,64.0,18.9243,32.4163,27.716,44.532,35.0107,52.02,44.233,32.9234,33.9136,30.9224,35.2247,64.5215,2.425,0.75
43,2011_Richmond,A10,37,29,112.344,97.662,0.833549,53.124,45.118,16.312,12.0,16.0,19.4205,28.6286,33.4231,32.3298,29.328,49.982,44.853,39.115,30.614,36.677,29.976,61.9314,1.83,0.7837837837837838
44,2011_Tennessee,SEC,34,19,109.371,95.341,0.828651,47.6234,47.9114,19.8152,9.0,64.0,20.712,37.811,32.3175,39.7113,37.5165,48.7133,46.8123,30.0322,33.299,30.0245,36.8288,65.7145,-1.169,0.5588235294117647
45,2011_Michigan_St_,B10,33,18,109.274,95.239,0.828252,48.6189,47.8107,20.1172,10.0,64.0,18.0281,34.689,28.848,36.62,38.9196,46.7213,44.853,35.0136,36.3265,33.0161,31.311,65.1173,2.029,0.5454545454545454
46,2011_Old_Dominion,CAA,34,27,109.966,96.45,0.820154,48.5194,47.383,20.6207,9.0,64.0,19.0236,45.41,28.228,37.6171,27.515,48.1158,42.814,32.9234,36.6285,27.6289,37.8308,60.2331,2.426,0.7941176470588235
47,2011_Texas_A_M,B12,32,23,108.877,96.047,0.808958,49.316,46.658,20.3188,7.0,32.0,20.8113,37.614,29.564,47.315,36.9154,48.6137,46.297,33.8195,31.631,31.3214,33.1188,61.3319,2.424,0.71875
48,2011_VCU,CAA,40,28,112.64,99.91,0.799561,51.172,49.2172,17.126,11.0,4.0,22.158,30.9219,36.432,37.0194,34.193,48.0163,48.7205,37.055,33.6118,41.222,30.078,65.1174,-1.979,0.7
49,2011_Oakland,Sum,34,24,117.91,105.1224,0.788865,55.84,49.5188,18.681,13.0,64.0,16.5326,36.44,32.0161,39.1126,31.145,55.92,47.5159,37.25,36.226,35.3113,28.745,71.28,0.3746,0.7058823529411765
50,2011_UAB,CUSA,31,22,108.483,96.753,0.787766,50.884,45.932,19.3121,12.0,64.0,19.2219,33.4131,30.693,29.7325,32.464,50.371,45.781,34.2176,31.021,40.531,29.772,61.7316,-0.0759,0.7096774193548387
51,2011_Princeton,Ivy,31,24,107.299,98.681,0.723482,52.046,47.176,18.788,13.0,64.0,18.3268,31.1213,26.99,36.7199,35.4116,50.561,46.091,36.957,33.3103,31.0222,26.916,62.4296,-0.1161,0.7741935483870968
52,2011_Wofford,SC,34,21,112.343,103.4179,0.720784,53.025,49.8207,18.054,14.0,64.0,20.2153,34.1103,32.4185,42.073,41.5248,50.47,48.8208,40.07,34.8192,26.6308,30.285,63.3261,-4.511,0.6176470588235294
53,2011_Memphis,CUSA,35,25,104.8134,97.36,0.701289,50.5101,46.867,21.927,12.0,64.0,21.385,35.373,35.0277,39.6115,39.1203,51.04,45.676,32.9234,33.092,32.4179,31.311,67.76,0.0751,0.7142857142857143
54,2011_Indiana_St_,MVC,33,19,103.5165,97.359,0.671596,48.8183,46.345,21.425,14.0,64.0,19.4205,31.2211,30.283,38.0162,45.8306,46.3233,44.542,35.4105,33.299,36.285,33.4199,64.7199,-4.1103,0.5757575757575758
55,2011_Bucknell,Pat,34,25,104.3145,98.169,0.66981,50.979,45.423,16.92,14.0,64.0,17.7295,25.2329,29.052,34.1264,35.0107,46.7213,44.13,40.07,31.734,31.5208,36.6284,64.6207,-2.181,0.7352941176470589
56,2011_Morehead_St_,OVC,32,22,105.1121,99.899,0.643111,50.695,49.6195,23.3321,13.0,32.0,22.641,41.13,27.818,40.61,37.8171,49.884,46.3104,34.8155,36.7289,32.9165,37.7304,63.1275,-3.494,0.6875
57,2011_Akron,MAC,35,22,102.9177,99.29,0.6049121,49.6141,46.762,17.538,15.0,64.0,20.5134,28.1295,32.7196,31.231,38.619,46.9208,46.091,35.984,32.146,38.154,30.595,65.7146,-5.5127,0.6285714285714286
58,2011_LIU,NEC,33,27,107.986,104.32,0.5964124,51.949,48.3126,20.1172,15.0,64.0,19.8179,37.418,32.3175,49.75,26.27,50.945,50.1262,36.181,29.78,31.6205,32.416,73.53,0.0052,0.8181818181818182
59,2011_Northern_Colorado,BSky,30,19,105.9111,102.7157,0.5891128,49.8129,48.8149,21.626,15.0,64.0,20.1159,35.373,29.052,43.445,43.227,44.9285,45.987,38.323,35.2214,39.342,41.5337,66.1131,-4.5109,0.6333333333333333
60,2011_Saint_Peter_s,MAAC,34,20,94.9293,92.214,0.5835131,45.5305,42.41,22.9312,14.0,64.0,21.67,32.1179,34.3258,38.9129,42.1256,42.7323,40.72,34.4167,30.614,32.2186,31.4119,63.6249,-5.7132,0.5882352941176471
61,2011_UC_Santa_Barbara,BW,30,16,102.7183,100.7121,0.555814,51.659,47.383,21.927,15.0,64.0,20.0167,28.2293,31.9156,37.3187,42.3258,49.69,43.116,36.666,36.6285,36.875,35.6259,64.3227,-6.7148,0.5333333333333333
62,2011_UNC_Asheville,BSth,31,17,99.8231,100.111,0.4924169,48.9181,47.9114,21.224,16.0,64.0,24.015,31.4203,36.0314,41.875,39.9225,49.0114,46.297,32.2268,34.1154,26.4311,33.4199,68.047,-8.0172,0.5483870967741935
63,2011_Boston_University,AE,35,21,103.1174,104.0191,0.4741178,47.3245,46.035,19.0106,16.0,64.0,18.0281,34.1103,34.3258,37.3187,30.239,43.3316,44.438,35.5101,32.458,40.033,37.5299,62.3301,-7.4163,0.6
64,2011_UTSA,Slnd,31,17,102.9178,105.7231,0.4235192,49.0175,49.1163,19.7143,16.0,64.0,19.9172,29.9259,33.4231,41.189,36.5141,46.5224,48.0179,35.791,33.9136,35.6103,39.3322,66.5106,-9.1192,0.5483870967741935
65,2011_Little_Rock,SB,34,17,100.9216,105.8233,0.3664223,47.8228,50.4231,18.054,16.0,64.0,20.8113,29.0277,31.513,42.562,45.53,42.4331,50.1262,39.314,34.0147,32.3183,35.1243,63.9241,-10.9219,0.5
66,2011_Hampton,MEAC,32,23,94.2306,99.392,0.354623,45.9296,43.14,18.054,16.0,64.0,22.837,29.327,35.9311,41.383,36.3136,44.829,41.03,32.1271,31.835,35.411,30.91,65.6151,-5.4126,0.71875
67,2011_Alabama_St_,SWAC,33,15,92.6318,106.724,0.1645312,44.2324,46.762,23.4323,16.0,64.0,23.329,35.952,33.3221,45.725,52.8338,44.5298,43.827,29.1337,35.724,31.7202,29.874,63.5252,-12.9266,0.45454545454545453
68,2024_Connecticut,BE,40,37,128.01,91.34,0.97991,56.97,44.43,14.534,1.0,1.0,16.0247,36.712,26.778,31.9202,31.1134,59.14,43.24,35.869,31.233,40.2102,32.943,64.6327,11.21,0.925
69,2024_Houston,B12,37,32,119.615,86.51,0.97662,50.3195,44.02,13.89,1.0,16.0,24.43,36.81,31.2282,30.8236,39.4316,49.2226,43.13,34.8132,30.111,36.8191,40.1282,63.4349,10.03,0.8648648648648649
70,2024_Purdue,B10,39,34,126.03,94.515,0.96493,55.813,47.538,16.4134,1.0,2.0,13.7341,37.76,24.315,41.313,22.04,53.364,47.761,40.42,31.544,34.7251,36.9171,67.1211,10.62,0.8717948717948718
71,2024_Auburn,SEC,35,27,121.01,93.17,0.95344,54.235,43.71,15.156,4.0,64.0,18.1102,32.959,30.2225,38.342,41.5335,55.122,42.91,35.2105,30.212,37.5176,33.451,70.056,5.29,0.7714285714285715
72,2024_Iowa_St_,B12,37,29,113.653,87.72,0.95175,52.097,47.436,15.468,2.0,16.0,25.32,31.1103,29.4198,35.4102,34.8241,51.2138,47.451,35.869,31.544,31.7305,45.2354,67.4193,6.36,0.7837837837837838
73,2024_Arizona,P12,36,27,120.512,93.38,0.95016,54.53,48.467,16.0104,2.0,16.0,18.011,35.618,23.36,36.483,25.926,54.437,47.761,36.633,32.9113,33.4281,37.9208,72.315,4.91,0.75
74,2024_Tennessee,SEC,36,27,115.931,90.43,0.94557,51.1147,45.35,14.534,2.0,8.0,18.579,32.275,28.2138,33.7147,35.726,50.8151,44.38,34.4152,31.233,41.279,41.1301,69.284,5.67,0.75
75,2024_Duke,ACC,36,27,121.39,95.52,0.93998,54.628,48.678,14.431,4.0,8.0,16.9174,32.077,25.953,34.3132,28.166,53.555,49.0108,37.713,31.853,37.5176,34.781,66.5247,3.515,0.75
76,2024_North_Carolina,ACC,37,29,119.218,94.314,0.93699,51.5126,46.718,14.119,1.0,16.0,14.831,33.058,23.71,36.288,28.269,50.2178,46.023,35.961,32.061,36.1211,35.8119,70.547,7.04,0.7837837837837838
77,2024_Creighton,BE,35,25,121.78,97.132,0.93091,57.33,46.311,15.468,3.0,16.0,11.0362,26.1273,24.927,24.7352,16.01,59.23,45.515,36.825,32.378,48.58,27.96,66.7233,4.413,0.7142857142857143
78,2024_Marquette,BE,37,27,118.62,94.916,0.928911,55.02,49.8133,14.327,2.0,16.0,21.119,25.7285,30.8266,25.5344,26.938,56.612,49.3124,35.2105,33.7162,41.184,42.8335,69.19,6.65,0.7297297297297297
79,2024_Gonzaga,WCC,35,27,123.65,99.157,0.926912,57.06,47.332,14.015,5.0,16.0,16.1241,33.251,27.7111,30.724,25.219,58.37,45.113,36.243,34.1195,31.3312,36.6148,68.8103,2.423,0.7714285714285715
80,2024_Illinois,B10,38,29,125.74,101.191,0.924713,53.648,48.046,15.051,3.0,8.0,12.336,35.618,26.364,37.168,26.733,54.437,46.836,34.9125,34.1195,38.6142,28.37,69.768,5.68,0.7631578947368421
81,2024_Alabama,SEC,37,25,126.12,102.5121,0.915414,56.31,49.7127,15.995,4.0,4.0,15.2294,34.925,30.9271,35.3106,38.8307,56.71,50.9199,37.319,31.751,46.519,37.2183,72.314,3.316,0.6756756756756757
82,2024_Saint_Mary_s,WCC,34,26,115.335,94.111,0.912415,52.867,45.14,16.0104,5.0,64.0,16.7189,38.73,22.31,28.0304,33.4201,52.781,43.85,35.398,32.378,36.8191,29.28,62.5357,1.435,0.7647058823529411
83,2024_Baylor,B12,35,24,122.67,101.088,0.902817,55.714,51.4234,17.7216,3.0,32.0,17.0164,35.024,26.989,40.222,31.2136,53.555,52.1257,39.54,33.4142,38.9133,35.4103,65.8276,4.512,0.6857142857142857
84,2024_Michigan_St_,B10,35,20,113.355,93.59,0.901518,51.6121,48.046,15.051,9.0,32.0,18.579,29.8139,28.5148,29.3272,32.4176,50.5164,47.451,36.243,32.696,30.5323,41.6311,65.4306,-0.1956,0.5714285714285714
85,2024_Texas,B12,34,21,116.629,96.525,0.898019,53.064,48.154,16.9174,7.0,32.0,18.864,29.9134,30.1222,30.2254,34.0221,53.17,47.044,35.492,33.5147,34.9246,32.943,67.4191,0.746,0.6176470588235294
86,2024_Clemson,ACC,36,24,117.723,97.434,0.89782,53.944,48.256,14.843,6.0,8.0,13.9337,27.224,26.672,30.724,32.1165,54.633,47.147,35.1112,33.1126,39.9108,41.1301,66.3258,1.041,0.6666666666666666
87,2024_Kansas,B12,34,23,113.751,94.213,0.897121,53.55,48.36,16.5143,4.0,32.0,16.5206,25.7285,26.57,32.5184,28.576,54.73,45.82,33.6194,34.6233,29.8334,41.0296,69.093,3.814,0.6764705882352942
88,2024_Florida,SEC,36,24,120.511,100.276,0.893622,51.8109,49.3106,15.784,7.0,64.0,14.5316,37.38,28.8168,38.44,34.8241,51.8112,49.5136,34.5144,32.696,34.5258,32.436,71.819,2.821,0.6666666666666666
89,2024_Colorado,P12,37,26,118.321,98.645,0.890223,55.415,49.7127,18.1249,10.0,32.0,15.2294,32.077,24.722,35.1111,27.347,54.04,50.618,39.16,32.166,30.6322,35.296,67.717,1.73,0.7027027027027027
90,2024_BYU,B12,34,23,119.814,99.97,0.889724,54.823,48.256,15.364,6.0,64.0,16.0247,32.865,24.621,25.4345,32.0161,57.58,48.384,34.8132,32.061,50.44,34.065,69.189,2.325,0.6764705882352942
91,2024_Wisconsin,B10,36,22,118.819,99.159,0.889225,52.288,52.0259,14.947,5.0,64.0,16.9174,30.2121,24.518,33.8146,33.8214,52.293,50.2166,34.9125,36.9336,35.5226,34.374,65.2309,2.918,0.6111111111111112
92,2024_Nebraska,B10,34,23,116.03,96.929,0.888226,53.161,46.718,15.893,8.0,64.0,16.2228,27.6219,30.3229,32.6181,27.758,52.878,45.214,35.773,32.589,44.332,41.4308,69.097,2.027,0.6764705882352942
93,2024_Kentucky,SEC,33,23,122.76,102.7124,0.886327,57.24,49.6123,14.223,3.0,64.0,15.9256,28.917,30.3229,30.4246,33.5204,54.73,49.4131,40.91,33.2132,37.5176,40.1282,72.513,2.819,0.696969696969697
94,2024_San_Diego_St_,MWC,37,26,112.071,94.112,0.880228,49.922,47.332,16.2114,5.0,16.0,18.1102,32.769,28.7163,36.777,33.1192,51.5124,47.869,31.5296,31.029,38.0157,40.3285,66.2263,2.226,0.7027027027027027
95,2024_New_Mexico,MWC,36,26,113.948,96.023,0.877429,50.5183,48.154,14.015,11.0,64.0,19.349,33.543,27.096,33.2158,33.4201,51.1143,49.2119,32.7241,30.721,29.933,36.5143,72.81,1.533,0.7222222222222222
96,2024_Texas_Tech,B12,34,23,116.925,99.362,0.866932,52.674,49.299,16.5143,6.0,64.0,17.0164,30.2121,30.3229,34.2136,27.245,51.612,49.8147,35.961,32.275,41.474,38.6236,66.5245,2.82,0.6764705882352942
97,2024_Texas_A_M,SEC,36,21,117.722,100.071,0.866733,45.734,50.518,14.119,9.0,32.0,16.7189,42.21,27.9123,38.638,31.9156,46.831,50.3171,29.3342,33.8166,37.7167,44.9351,66.1265,-0.0655,0.5833333333333334
98,2024_Mississippi_St_,SEC,35,21,112.367,95.521,0.865234,51.4139,48.046,18.9299,8.0,64.0,18.489,35.42,27.9123,37.463,31.8154,53.457,50.3171,32.2261,29.88,38.5146,41.2306,67.1208,0.65,0.6
99,2024_Nevada,MWC,34,26,115.037,98.138,0.861736,53.258,48.467,15.261,10.0,64.0,17.4139,27.3233,26.989,45.06,34.2226,52.589,49.1113,36.437,31.65,33.7273,41.0296,66.9223,2.522,0.7647058823529411
100,2024_Northwestern,B10,34,22,115.734,98.851,0.859237,52.674,51.5239,13.47,9.0,32.0,18.864,25.8283,27.8115,29.2277,39.3315,49.2226,51.4226,39.07,34.5226,36.4202,37.319,64.034,1.139,0.6470588235294118
101,2024_Washington_St_,P12,35,25,112.86,96.726,0.854939,51.8109,47.227,16.4134,7.0,32.0,15.7272,32.959,25.029,31.6216,32.317,52.293,46.528,33.9178,32.589,32.2299,31.122,64.8322,1.829,0.7142857142857143
102,2024_Colorado_St_,MWC,36,25,112.861,96.828,0.852343,54.235,48.571,15.468,10.0,64.0,16.6196,24.6301,26.989,31.8208,31.7151,57.09,48.074,33.0221,33.0116,38.2153,33.754,66.0269,1.14,0.6944444444444444
103,2024_Boise_St_,MWC,33,22,113.752,97.835,0.849744,51.0152,49.8133,16.4134,10.0,64.0,16.9174,32.959,23.15,35.1111,33.1192,50.8151,52.1257,34.2159,30.518,39.4116,36.7155,66.5249,0.747,0.6666666666666666
104,2024_TCU,B12,34,21,114.047,98.239,0.848146,51.5126,50.7191,18.0242,9.0,64.0,20.625,35.917,28.4145,35.0117,35.4256,50.8151,51.322,35.492,33.0116,30.3327,35.192,70.054,0.944,0.6176470588235294
105,2024_Dayton,A10,33,25,116.726,100.681,0.847047,56.211,48.36,16.0104,7.0,32.0,15.9256,26.4266,28.6158,36.777,21.93,53.457,48.591,39.93,32.061,44.332,40.1282,64.2337,2.324,0.7575757575757576
106,2024_N_C__State,ACC,41,26,114.244,99.158,0.836648,50.7169,49.5113,13.89,11.0,4.0,17.5136,28.2196,29.1184,32.0195,31.5139,50.2178,49.0108,34.4152,33.6155,33.3283,36.7155,67.7167,-0.4259,0.6341463414634146
107,2024_South_Carolina,SEC,34,26,115.038,100.175,0.83095,50.9156,48.467,15.573,6.0,64.0,14.9307,32.865,27.9123,31.8208,31.6146,50.9148,47.35,33.9178,33.9174,41.184,31.324,63.2351,4.711,0.7647058823529411
108,2024_Drake,MVC,35,28,114.84,100.173,0.828251,54.725,50.8195,13.89,10.0,64.0,17.5136,24.1313,22.52,32.3188,31.3138,54.828,51.322,36.437,33.3136,39.2123,38.9245,67.9151,1.631,0.8
109,2024_Oregon,P12,36,24,114.245,99.768,0.827052,51.9102,51.5239,14.739,11.0,32.0,17.812,28.618,27.3102,32.0195,32.317,52.683,51.0205,33.8181,34.925,36.3204,36.9171,67.2203,1.337,0.6666666666666666
110,2024_Florida_Atlantic,Amer,34,25,116.728,102.512,0.816255,54.725,49.6123,16.2114,8.0,64.0,16.4211,33.543,29.3194,34.8125,27.347,56.017,49.2119,35.1112,33.6155,39.1127,36.213,68.1142,1.138,0.7352941176470589
111,2024_Utah_St_,MWC,35,28,114.939,101.395,0.809158,54.043,49.8133,15.573,8.0,32.0,16.4211,27.8214,26.672,39.033,30.6126,56.71,52.829,32.5247,29.75,33.6275,36.5143,68.8107,3.117,0.8
112,2024_Virginia,ACC,34,23,104.1207,92.36,0.798862,48.6262,46.617,13.04,10.0,64.0,19.445,25.6288,28.1132,25.3347,25.823,46.2322,47.248,35.869,30.518,32.6294,39.626,60.2362,1.632,0.6764705882352942
113,2024_Grand_Canyon,WAC,35,30,111.28,98.85,0.795463,51.4139,45.89,17.8226,12.0,32.0,19.838,34.131,30.2225,46.73,34.1224,52.1102,44.59,33.5198,32.166,36.1211,34.272,68.3132,1.434,0.8571428571428571
114,2024_James_Madison,SB,36,32,111.873,100.784,0.769774,53.944,47.227,14.947,12.0,32.0,19.741,31.886,27.7111,34.9122,35.1251,53.846,48.692,36.056,29.75,37.8163,35.5107,69.963,1.436,0.8888888888888888
